event_index,participant_id,experiment_version,condition,seed,trial_number,phase,phase_number,block,equivalence_group,face_pair_type,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_valid,verbal_cue_valid,facial_cue_direction,verbal_cue_direction,cue_conflict,facial_block,verbal_block,facial_block_state,verbal_block_state,face_left,face_right,face_left_expr,face_right_expr,card_left_points,card_right_points,point_difference,correct_side,winning_card,reward_points,verbal_text,key_left,key_right,correct_key,response_key,correct,rt_raw,is_timeout,chose_left,followed_facial,followed_verbal,chose_high_reward,response_for_model,trial_order,eg_numeric,phase_numeric,facial_direction_left,verbal_direction_left
40,P011,11.0,verbal_first,3.0,1,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,1.0,right,left,1.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,9.0,5.0,4.0,left,CLUB-9.png,4.0,I think I'm going to win this round.,Z,M,Z,M,0.0,529.2000000238477,False,0.0,1.0,0.0,0.0,0.0,1,2,1,0,1
45,P011,11.0,verbal_first,3.0,2,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,1.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,4.0,2.0,2.0,left,HEART-4.png,2.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,1544.199999999997,False,1.0,0.0,1.0,1.0,1.0,2,1,1,0,1
50,P011,11.0,verbal_first,3.0,3,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,0.0,left,right,1.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,9.0,5.0,4.0,left,HEART-9.png,4.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,961.800000023839,False,1.0,1.0,0.0,1.0,1.0,3,3,1,1,0
55,P011,11.0,verbal_first,3.0,4,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,SadPop.png,happy,sad,3.0,1.0,2.0,left,CLUB-3.png,2.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,1677.199999976161,False,1.0,1.0,1.0,1.0,1.0,4,1,1,1,1
60,P011,11.0,verbal_first,3.0,5,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,1.0,left,right,1.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,3.0,6.0,3.0,right,DIAMOND-6.png,3.0,I think I'm going to win this round.,Z,M,M,Z,0.0,1616.5999999999767,False,1.0,1.0,0.0,0.0,1.0,5,2,1,1,0
65,P011,11.0,verbal_first,3.0,6,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,4.0,3.0,1.0,left,DIAMOND-4.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,1116.6000000000058,False,1.0,1.0,1.0,1.0,1.0,6,3,1,1,1
70,P011,11.0,verbal_first,3.0,7,calibration,,,A,happy_vs_sad,0.7,0.8,0.0,1.0,right,left,1.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,10.0,2.0,8.0,left,SPADE-10.png,8.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,1091.5999999761698,False,1.0,0.0,1.0,1.0,1.0,7,1,1,0,1
75,P011,11.0,verbal_first,3.0,8,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,1.0,right,left,1.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,9.0,4.0,5.0,left,DIAMOND-9.png,5.0,I think I'm going to win this round.,Z,M,Z,M,0.0,2188.59999997617,False,0.0,1.0,0.0,0.0,0.0,8,2,1,0,1
80,P011,11.0,verbal_first,3.0,9,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,5.0,7.0,2.0,right,CLUB-7.png,2.0,I think I'm going to win this round.,Z,M,M,M,1.0,1003.899999976158,False,0.0,1.0,1.0,1.0,0.0,9,3,1,0,0
85,P011,11.0,verbal_first,3.0,10,calibration,,,B,happy_vs_neutral,0.8,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,HappyPop.png,NeutralPop.png,happy,neutral,7.0,4.0,3.0,left,HEART-7.png,3.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,216.1999999761465,False,1.0,1.0,1.0,1.0,1.0,10,2,1,1,1
90,P011,11.0,verbal_first,3.0,11,calibration,,,A,happy_vs_sad,0.7,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,HappyPop.png,sad,happy,1.0,2.0,1.0,right,SPADE-2.png,1.0,I think I'm going to win this round.,Z,M,M,M,1.0,724.2000000238477,False,0.0,1.0,1.0,1.0,0.0,11,1,1,0,0
95,P011,11.0,verbal_first,3.0,12,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,left,left,0.0,1.0,1.0,high,high,NeutralPop.png,SadPop.png,neutral,sad,10.0,2.0,8.0,left,SPADE-10.png,8.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,323.7999999761523,False,1.0,1.0,1.0,1.0,1.0,12,3,1,1,1
100,P011,11.0,verbal_first,3.0,13,calibration,,,C,neutral_vs_sad,0.9,0.8,1.0,1.0,right,right,0.0,1.0,1.0,high,high,SadPop.png,NeutralPop.png,sad,neutral,5.0,10.0,5.0,right,SPADE-10.png,5.0,I think I'm going to win this round.,Z,M,M,M,1.0,613.3999999761581,False,0.0,1.0,1.0,1.0,0.0,13,3,1,0,0
105,P011,11.0,verbal_first,3.0,14,calibration,,,B,happy_vs_neutral,0.8,0.8,0.0,1.0,right,left,1.0,1.0,1.0,high,high,NeutralPop.png,HappyPop.png,neutral,happy,8.0,7.0,1.0,left,CLUB-8.png,1.0,I think I'm going to win this round.,Z,M,Z,Z,1.0,793.4999999880674,False,1.0,0.0,1.0,1.0,1.0,14,2,1,0,1
