trial_order,trial_number,phase,phase_numeric,equivalence_group,eg_numeric,facial_cue_valid,verbal_cue_valid,facial_cue_accuracy,verbal_cue_accuracy,facial_cue_direction,verbal_cue_direction,facial_direction_left,verbal_direction_left,card_left_points,card_right_points,point_difference,correct_side,response_key,chose_left,rt_raw,followed_facial,followed_verbal,chose_high_reward,is_timeout,response_for_model
1,1,calibration,1,B,2,1.0,0.0,0.8,0.8,left,right,1,0,3.0,2.0,1.0,left,M,0.0,1064.2000000029802,0.0,1.0,0.0,False,0.0
2,2,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,7.0,3.0,4.0,left,,,3008.6000000029744,,,,True,
3,3,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,2.0,6.0,4.0,right,M,0.0,768.199999997014,1.0,1.0,1.0,False,0.0
4,4,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,3.0,8.0,5.0,right,,,2992.0000000029686,,,,True,
5,5,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,2.0,7.0,left,M,0.0,329.80000000595464,0.0,0.0,0.0,False,0.0
6,6,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,7.0,2.0,left,M,0.0,319.19999999404536,0.0,0.0,0.0,False,0.0
7,7,calibration,1,A,1,1.0,0.0,0.7,0.8,left,right,1,0,5.0,1.0,4.0,left,Z,1.0,315.1000000029744,1.0,0.0,1.0,False,1.0
8,8,calibration,1,B,2,0.0,0.0,0.8,0.8,left,left,1,1,3.0,10.0,7.0,right,Z,1.0,2773.5,1.0,1.0,0.0,False,1.0
9,9,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,4.0,6.0,2.0,right,M,0.0,471.9999999970314,1.0,1.0,1.0,False,0.0
10,10,calibration,1,A,1,1.0,1.0,0.7,0.8,right,right,0,0,1.0,6.0,5.0,right,,,2992.300000002986,,,,True,
11,11,calibration,1,C,3,0.0,1.0,0.9,0.8,left,right,1,0,2.0,8.0,6.0,right,M,0.0,565.0,0.0,1.0,1.0,False,0.0
12,12,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,9.0,7.0,2.0,left,M,0.0,2594.599999997008,1.0,0.0,0.0,False,0.0
13,13,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,6.0,7.0,1.0,right,M,0.0,117.30000000298604,1.0,1.0,1.0,False,0.0
14,14,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,6.0,1.0,5.0,left,,,2992.200000005949,,,,True,
15,15,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,2.0,7.0,5.0,right,Z,1.0,622.5,1.0,0.0,0.0,False,1.0
16,16,calibration,1,C,3,0.0,1.0,0.9,0.8,right,left,0,1,5.0,2.0,3.0,left,M,0.0,1045.2000000000116,1.0,0.0,0.0,False,0.0
17,17,calibration,1,B,2,0.0,1.0,0.8,0.8,left,right,1,0,6.0,10.0,4.0,right,M,0.0,80.69999999701395,0.0,1.0,1.0,False,0.0
18,18,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,10.0,6.0,4.0,left,Z,1.0,511.8999999940279,1.0,1.0,1.0,False,1.0
19,19,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,6.0,3.0,left,,,3008.300000005954,,,,True,
20,20,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,2.0,8.0,6.0,right,M,0.0,841.7000000029802,1.0,1.0,1.0,False,0.0
21,21,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,7.0,1.0,6.0,left,Z,1.0,435.40000000596046,1.0,1.0,1.0,False,1.0
22,22,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,10.0,8.0,2.0,left,Z,1.0,678.8000000059837,1.0,1.0,1.0,False,1.0
23,23,calibration,1,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,8.0,1.0,left,M,0.0,660.4000000000233,0.0,0.0,0.0,False,0.0
24,24,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,1.0,9.0,8.0,right,M,0.0,244.5,1.0,1.0,1.0,False,0.0
25,25,calibration,1,A,1,1.0,0.0,0.7,0.8,right,left,0,1,3.0,5.0,2.0,right,Z,1.0,1679.0999999940395,0.0,1.0,0.0,False,1.0
26,26,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,7.0,10.0,3.0,right,Z,1.0,153.09999999997672,0.0,0.0,0.0,False,1.0
27,27,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,5.0,1.0,4.0,left,Z,1.0,666.3999999969965,1.0,1.0,1.0,False,1.0
28,28,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,4.0,7.0,3.0,right,M,0.0,550.6999999940163,1.0,1.0,1.0,False,0.0
29,29,calibration,1,A,1,0.0,1.0,0.7,0.8,right,left,0,1,5.0,1.0,4.0,left,M,0.0,409.8999999940279,1.0,0.0,0.0,False,0.0
30,30,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,10.0,1.0,9.0,left,Z,1.0,548.3000000000466,0.0,1.0,1.0,False,1.0
31,31,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,5.0,10.0,5.0,right,Z,1.0,337.4999999940628,0.0,0.0,0.0,False,1.0
32,32,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,10.0,9.0,1.0,left,Z,1.0,16.599999999976717,1.0,1.0,1.0,False,1.0
33,33,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,4.0,5.0,1.0,right,M,0.0,170.30000000295695,1.0,1.0,1.0,False,0.0
34,34,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,2.0,8.0,6.0,right,M,0.0,539.4000000059605,1.0,1.0,1.0,False,0.0
35,35,calibration,1,B,2,0.0,1.0,0.8,0.8,right,left,0,1,10.0,4.0,6.0,left,M,0.0,298.7999999940512,1.0,0.0,0.0,False,0.0
36,36,calibration,1,A,1,0.0,1.0,0.7,0.8,left,right,1,0,7.0,8.0,1.0,right,M,0.0,794.0000000029686,0.0,1.0,1.0,False,0.0
37,37,calibration,1,C,3,1.0,0.0,0.9,0.8,right,left,0,1,7.0,10.0,3.0,right,Z,1.0,116.40000000008148,0.0,1.0,0.0,False,1.0
38,38,calibration,1,A,1,1.0,1.0,0.7,0.8,left,left,1,1,9.0,5.0,4.0,left,M,0.0,575.0999999999767,0.0,0.0,0.0,False,0.0
39,39,calibration,1,B,2,1.0,1.0,0.8,0.8,right,right,0,0,4.0,5.0,1.0,right,M,0.0,1217.699999997043,1.0,1.0,1.0,False,0.0
40,40,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,1.0,6.0,5.0,right,M,0.0,534.0,1.0,1.0,1.0,False,0.0
41,41,calibration,1,B,2,0.0,1.0,0.8,0.8,left,right,1,0,3.0,4.0,1.0,right,Z,1.0,1231.7999999970198,1.0,0.0,0.0,False,1.0
42,42,calibration,1,A,1,0.0,0.0,0.7,0.8,left,left,1,1,9.0,10.0,1.0,right,M,0.0,1064.599999997008,0.0,0.0,1.0,False,0.0
43,43,calibration,1,C,3,1.0,1.0,0.9,0.8,right,right,0,0,8.0,9.0,1.0,right,M,0.0,1554.5000000059372,1.0,1.0,1.0,False,0.0
44,44,calibration,1,A,1,0.0,1.0,0.7,0.8,right,left,0,1,6.0,5.0,1.0,left,M,0.0,315.4999999970314,1.0,0.0,0.0,False,0.0
45,45,calibration,1,B,2,1.0,1.0,0.8,0.8,left,left,1,1,10.0,8.0,2.0,left,Z,1.0,62.100000003003515,1.0,1.0,1.0,False,1.0
46,46,verbal_volatile,2,B,2,1.0,1.0,0.8,0.2,right,right,0,0,3.0,6.0,3.0,right,M,0.0,259.6000000059721,1.0,1.0,1.0,False,0.0
47,47,verbal_volatile,2,C,3,1.0,1.0,0.9,0.2,left,left,1,1,10.0,9.0,1.0,left,Z,1.0,802.8999999940279,1.0,1.0,1.0,False,1.0
48,48,verbal_volatile,2,A,1,1.0,1.0,0.7,0.2,left,left,1,1,8.0,3.0,5.0,left,Z,1.0,603.4000000000233,1.0,1.0,1.0,False,1.0
49,49,verbal_volatile,2,C,3,1.0,0.0,0.9,0.2,right,left,0,1,6.0,10.0,4.0,right,Z,1.0,525.7999999970198,0.0,1.0,0.0,False,1.0
50,50,verbal_volatile,2,A,1,1.0,0.0,0.7,0.2,left,right,1,0,3.0,1.0,2.0,left,Z,1.0,169.20000000594882,1.0,0.0,1.0,False,1.0
51,51,verbal_volatile,2,B,2,1.0,0.0,0.8,0.2,left,right,1,0,10.0,2.0,8.0,left,Z,1.0,411.9999999940628,1.0,0.0,1.0,False,1.0
52,52,verbal_volatile,2,A,1,0.0,0.0,0.7,0.2,right,right,0,0,3.0,2.0,1.0,left,M,0.0,194.80000000295695,1.0,1.0,0.0,False,0.0
53,53,verbal_volatile,2,C,3,1.0,1.0,0.9,0.2,left,left,1,1,9.0,3.0,6.0,left,Z,1.0,1094.9999999970314,1.0,1.0,1.0,False,1.0
54,54,verbal_volatile,2,B,2,1.0,0.0,0.8,0.2,left,right,1,0,10.0,1.0,9.0,left,Z,1.0,1275.9999999940628,1.0,0.0,1.0,False,1.0
55,55,verbal_volatile,2,A,1,1.0,0.0,0.7,0.2,right,left,0,1,7.0,9.0,2.0,right,Z,1.0,1196.199999997043,0.0,1.0,0.0,False,1.0
56,56,verbal_volatile,2,B,2,1.0,1.0,0.8,0.2,left,left,1,1,9.0,1.0,8.0,left,Z,1.0,1300.5,1.0,1.0,1.0,False,1.0
57,57,verbal_volatile,2,C,3,1.0,0.0,0.9,0.2,left,right,1,0,9.0,5.0,4.0,left,M,0.0,454.40000000596046,0.0,1.0,0.0,False,0.0
58,58,verbal_volatile,2,A,1,0.0,1.0,0.7,0.2,right,left,0,1,9.0,1.0,8.0,left,Z,1.0,854.5000000059372,0.0,1.0,1.0,False,1.0
59,59,verbal_volatile,2,C,3,1.0,0.0,0.9,0.2,right,left,0,1,7.0,10.0,3.0,right,Z,1.0,1190.7000000029802,0.0,1.0,0.0,False,1.0
60,60,verbal_volatile,2,B,2,1.0,0.0,0.8,0.2,right,left,0,1,6.0,8.0,2.0,right,M,0.0,323.80000000598375,1.0,0.0,1.0,False,0.0
61,61,verbal_volatile,2,A,1,1.0,1.0,0.7,0.8,left,left,1,1,7.0,5.0,2.0,left,M,0.0,936.9000000059604,0.0,0.0,0.0,False,0.0
62,62,verbal_volatile,2,C,3,1.0,1.0,0.9,0.8,left,left,1,1,9.0,1.0,8.0,left,M,0.0,14.700000000011642,0.0,0.0,0.0,False,0.0
